Unnamed: 0,date,item,Description,Quantity,Unit Price,DISCOUNT,NET TOTAL
4687,22.04.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
4689,24.04.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
4690,25.04.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
4692,26.04.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
4694,27.04.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
4695,28.04.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
4698,29.04.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
4699,30.04.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
4700,04.05.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
4702,07.05.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
4704,09.05.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
4705,10.05.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
4706,12.05.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
4707,17.05.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
4708,10.06.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
4709,19.06.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
4714,05.03.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
4718,06.03.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
4738,14.03.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
4743,17.03.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
4749,20.03.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
4762,28.03.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
4764,30.03.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
4765,01.04.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
4767,02.04.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
4778,11.04.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
4786,17.04.23,DB-19-0018,DB POP ART ARAB MAN & WOMEN W/ KHANJAR CHARM KEYRING-AGP-AK5553,1,27.62,-0.001,27.62
